text,label
i have dischromic rash eruptions patches nodal skin skin,Dermatology
experiencing swelling abdomen overload of consumption of pain vomiting abdominal distention alcohol stomach yellowish skin fluid of history,Gastroenterology
i am having excessive speech palpitations blurred vomiting tingling and vision headache irritability sweating hunger fatigue lips anxiety and slurred drying distorted nausea,Endocrinology
i have urine fatigue loss vomiting skin abdominal fever itching yellowish dark pain weight high,Gastroenterology
i have of skin fluid abdominal of overload yellowish vomiting stomach pain distention history consumption swelling of abdomen alcohol,Gastroenterology
i feel swelling painful neck walking joints pain joint pain pain hip pain joint knee lately,Orthopedics
feeling of internal gases passage loss itching pain indigestion appetite vomiting abdominal of,Gastroenterology
feeling eyes malaise fatigue of redness smell fever continuous congestion loss high nodes chest swelled throat lymph irritation headache pressure pain chills muscle runny cough pain sinus phlegm of nose sneezing,Pulmonology
experiencing chest breathlessness pain vomiting,Cardiology
dealing with urination stomach spotting rash skin pain itching,Dermatology
having breathlessness sweating pain chest vomiting,Cardiology
i feel nose high crust skin red fever ooze rash yellow blister around sore lately,Dermatology
i feel vomiting yellowish of fluid stomach of abdominal skin of overload swelling history distention consumption pain abdomen alcohol lately,Gastroenterology
experiencing limbs loss pain weakness neck dizziness balance of in,Neurology
suffering from gases indigestion internal abdominal of of vomiting loss passage pain itching appetite,Gastroenterology
i think it's fatigue high smell muscle eyes pressure sinus chest swelled pain pain of nose sneezing lymph of chills fever throat irritation continuous runny nodes headache congestion malaise phlegm redness loss cough,Pulmonology
i am having indigestion of vomiting passage pain internal gases abdominal loss appetite of itching,Gastroenterology
dealing with dehydration sunken eyes diarrhoea vomiting,Gastroenterology
i feel pain balance weakness pain dizziness back in loss limbs of neck lately,Neurology
i feel joint pain silver like nails rash skin nails skin dusting in dents small inflammatory peeling lately,Dermatology
feeling disturbances irritability hunger blurred and headache depression acidity stiff distorted neck indigestion visual vision excessive,Neurology
i feel cough acidity on vomiting ulcers pain tongue stomach lately,Gastroenterology
my main issue is continuous sneezing watering eyes from chills,Dermatology
suffering from swelled loss fatigue spots headache lymph high body nodes appetite lethargy red fever over rash skin itching of malaise fever mild,Infectious
having joint walking painful neck swelling pain pain knee pain hip joints pain joint,Orthopedics
experiencing acidity stomach pain on tongue vomiting ulcers pain cough chest,Gastroenterology
feeling fast chest cough heart breathlessness rusty rate sputum pain chills fatigue malaise fever phlegm high sweating,Pulmonology
i am having of swelling abdominal consumption distention stomach pain skin alcohol of yellowish overload of abdomen fluid vomiting history,Gastroenterology
i am having weight loss itching vomiting fatigue fever skin urine dark yellowish pain abdominal high,Gastroenterology
feeling abdominal vomiting of loss yellowing pain of urine fatigue nausea skin eyes dark appetite pain joint yellowish,Gastroenterology
experiencing from chills sneezing shivering watering continuous eyes,Dermatology
i think it's watering eyes shivering from sneezing continuous chills,Dermatology
experiencing the over appetite pain chills eyes high pain muscle red of spots joint pain loss skin rash headache nausea back behind vomiting pain body fatigue fever,Infectious
i have fever urine itching skin loss high yellowish vomiting pain dark abdominal weight,Gastroenterology
i am having calf bruising blood fatigue on veins swollen prominent legs swollen obesity vessels cramps,Cardiology
experiencing yellowing fever phlegm nodes in of lymph loss vomiting chest weight fatigue pain of malaise high appetite blood swelled chills eyes cough sputum breathlessness fever loss sweating mild,Pulmonology
i think it's yellowish skin history of family nausea of yellowing eyes fatigue loss appetite,Gastroenterology
i am having loss vomiting yellowing of abdominal of skin itching nausea yellowish appetite pain eyes,
i have indigestion hunger disturbances vision irritability neck depression stiff blurred excessive and visual acidity headache distorted,Neurology
having itching passage appetite gases pain loss of of vomiting indigestion abdominal internal,Gastroenterology
i have fever high muscle extra marital wasting contacts,Infectious
experiencing swelled breathlessness high chills fatigue of vomiting cough sputum appetite nodes loss chest fever sweating phlegm blood loss yellowing in fever weight pain malaise mild eyes of lymph,Pulmonology
feeling excessive irritability distorted stiff headache visual disturbances vision hunger indigestion neck acidity depression blurred and,Neurology
experiencing muscle throat wasting extra high fever marital in patches contacts,Infectious
experiencing swelling stiff movement weakness muscle joints walking stiffness painful neck,Orthopedics
my main issue is family cough breathlessness history sputum fatigue high fever mucoid,Pulmonology
my main issue is sputum breathlessness fast cough malaise sweating rate pain chest high rusty phlegm chills fever heart fatigue,Pulmonology
i feel painful walking neck muscle weakness stiff stiffness movement lately,Orthopedics
i think it's weight eyes and dizziness swings extremeties swollen cold nails and fatigue irritability thyroid mood gain menstruation face brittle abnormal feets lethargy hands depression puffy enlarged,Endocrinology
feeling blister fever nose crust red high sore around skin ooze yellow rash,Dermatology
i think it's chest pain breathlessness sweating vomiting,Cardiology
feeling urine of stomach vomiting pain bleeding of abdominal failure fatigue coma acute eyes nausea liver appetite pain joint fever yellowish skin high loss dark yellowing,Gastroenterology
i feel swollen obesity fatigue calf bruising cramps prominent veins vessels blood legs swollen on lately,Cardiology
i think it's sneezing headache chills throat nose fatigue malaise swelled continuous phlegm of pain of pain irritation eyes nodes sinus lymph pressure cough smell loss redness muscle chest runny congestion,Pulmonology
experiencing sensorium one of altered vomiting headache side body weakness,Neurology
experiencing cough mucoid fever fatigue sputum breathlessness high,Pulmonology
i feel of abdominal pain eyes skin pain of nausea fatigue yellowish loss vomiting yellowing urine joint appetite dark lately,Gastroenterology
feeling headache vomiting one body sensorium of altered weakness side,Neurology
dealing with diarrhoea vomiting dehydration eyes sunken,Gastroenterology
my main issue is body weakness one headache vomiting of side altered sensorium,Neurology
i have stomach burning rash urination spotting skin itching micturition pain,Dermatology
i have internal passage indigestion abdominal pain vomiting gases itching of appetite of loss,Gastroenterology
dealing with eruptions itching dischromic patches skin nodal,Dermatology
i have vomiting diarrhoea dark appetite loss pain pain abdominal yellowing muscle skin nausea mild of fever yellowish eyes urine of,Gastroenterology
i am having internal vomiting appetite of passage abdominal loss gases of itching indigestion pain,Gastroenterology
i think it's pain headache loss of runny chest eyes of nose chills irritation swelled continuous phlegm redness congestion nodes throat fever pressure malaise cough lymph pain muscle high smell sinus sneezing fatigue,Pulmonology
my main issue is vomiting phlegm yellowing loss sweating fatigue loss pain sputum cough breathlessness eyes fever of chest swelled blood appetite weight lymph mild in nodes malaise of chills high fever,Pulmonology
having mood loss abnormal irritability hunger diarrhoea swings fast excessive weakness restlessness rate sweating weight menstruation heart muscle,Endocrinology
i feel weakness body altered vomiting sensorium side one of headache lately,Neurology
suffering from liver yellowing of urine pain eyes bleeding abdominal coma high yellowish fever failure stomach vomiting loss skin of joint pain appetite dark nausea acute fatigue,Gastroenterology
dealing with loss vomiting yellowing eyes nausea pain fatigue appetite joint yellowish pain urine skin of of abdominal dark,Gastroenterology
feeling lips palpitations headache irritability anxiety excessive vision tingling fatigue speech blurred slurred drying and nausea and vomiting distorted hunger sweating,Endocrinology
having joint nails skin skin silver like in inflammatory dents dusting rash small nails pain peeling,Dermatology
suffering from malaise sputum loss yellowing fever appetite loss in phlegm chills vomiting of breathlessness mild sweating blood swelled lymph nodes chest of cough weight fever high pain eyes,Pulmonology
my main issue is swelling painful weakness muscle stiffness joints walking stiff neck movement,Orthopedics
i feel body altered one sensorium headache of vomiting side weakness lately,Neurology
i think it's hip painful walking pain joints neck knee pain swelling joint pain pain joint,Orthopedics
experiencing fatigue of yellowing yellowish of skin loss history eyes family appetite,Gastroenterology
i have smell micturition of bladder feel continuous burning foul urine of discomfort urine,Urology
suffering from rash fever blister crust sore yellow nose ooze skin around high red,Dermatology
dealing with skin in skin silver nails peeling small rash pain like dents dusting joint,Dermatology
having sweating vomiting headache fever nausea pain chills muscle diarrhoea high,Infectious
i think it's eyes watering from continuous sneezing chills,Dermatology
experiencing in nails skin peeling skin like silver joint dusting dents small nails rash inflammatory pain,Dermatology
experiencing red rash blister nose high yellow fever sore crust skin around ooze,Dermatology
i feel fatigue pain urine dark skin abdominal eyes loss yellowish of appetite joint vomiting pain of yellowing lately,Gastroenterology
i think it's belly pain toxic abdominal fever pain chills nausea high look fatigue vomiting diarrhoea (typhos) headache,Infectious
experiencing vomiting of fluid consumption overload history abdomen distention swelling of alcohol skin stomach abdominal pain of yellowish,Gastroenterology
i am having alcohol distention consumption skin history of of abdominal swelling fluid yellowish pain of overload stomach abdomen,Gastroenterology
i have sunken eyes diarrhoea dehydration vomiting,Gastroenterology
i am having skin dusting inflammatory nails peeling dents silver pain skin small in joint nails rash like,Dermatology
i am having fatigue of appetite history of yellowing nausea loss eyes family,Gastroenterology
experiencing excessive visual blurred acidity and depression irritability headache disturbances indigestion hunger vision distorted,Neurology
suffering from sunken vomiting eyes dehydration diarrhoea,Gastroenterology
i think it's vomiting loss of pain appetite dark mild urine diarrhoea skin pain muscle yellowish of eyes nausea fever joint yellowing,Gastroenterology
i feel of itching abdominal vomiting nausea pain loss skin of yellowish yellowing eyes appetite lately,
i am having fatigue appetite mild chest eyes weight in blood breathlessness lymph chills sputum cough nodes malaise vomiting swelled of pain yellowing fever fever loss of phlegm high loss sweating,Pulmonology
i think it's skin scurring rash filled pus pimples,Dermatology
i am having sweating chest pain heart chills rusty fatigue fever sputum fast phlegm cough rate malaise high,Pulmonology
dealing with weight fast mood fatigue heart swings loss rate weakness abnormal excessive irritability muscle diarrhoea menstruation sweating hunger,Endocrinology
i feel spots over swelled high itching nodes headache appetite fever loss red fever lymph fatigue malaise mild lethargy body of lately,Infectious
i think it's yellowing of eyes loss pain nausea yellowish abdominal itching appetite vomiting skin of,
i am having in pain dizziness back loss balance neck weakness of limbs pain,Neurology
feeling of pain loss appetite abdominal yellowish itching skin vomiting nausea,
i am having vomiting appetite pain of internal indigestion itching passage gases loss of abdominal,Gastroenterology
suffering from pain coma bleeding stomach eyes of nausea high skin abdominal acute dark pain failure loss fever appetite fatigue vomiting urine of liver joint yellowish yellowing,Gastroenterology
my main issue is nausea headache loss spinning movements of balance unsteadiness,
feeling pain muscle appetite fever pain back nausea skin spots over fatigue malaise loss high body joint chills headache rash pain behind eyes of red pain vomiting the,Infectious
i have of pain dizziness loss in balance back neck weakness limbs pain,Neurology
having chills shivering sneezing continuous,Dermatology
having fever eyes dark stomach urine appetite loss of of liver skin failure yellowish bleeding pain abdominal nausea joint high acute fatigue pain vomiting coma yellowing,Gastroenterology
feeling spots high over appetite mild lethargy itching rash headache fever skin red body fever malaise of fatigue loss,Infectious
i have in fever muscle patches high throat wasting,Infectious
suffering from fatigue skin urine dark loss weight fever abdominal yellowish itching pain high vomiting,Gastroenterology
i have internal appetite itching of of gases loss passage vomiting pain indigestion abdominal,Gastroenterology
i have of yellowish fatigue history appetite yellowing family nausea of eyes loss skin,Gastroenterology
experiencing unsteadiness spinning of vomiting headache loss balance movements,
experiencing on fatigue veins prominent cramps obesity vessels legs swollen calf swollen blood,Cardiology
i am having nausea vomiting abdominal skin yellowing itching pain eyes appetite of loss yellowish of,
i am having breathlessness pain sweating chest vomiting,Cardiology
i am having appetite weight swelled fatigue fever high sputum breathlessness chest cough fever of chills blood yellowing loss phlegm nodes pain in lymph vomiting mild of malaise loss eyes sweating,Pulmonology
my main issue is filled pimples scurring rash skin pus,Dermatology
i am having eyes yellowing appetite skin yellowish loss of abdominal pain vomiting of nausea,
i am having headache spinning movements of unsteadiness vomiting nausea balance loss,
experiencing loss balance nausea headache of unsteadiness spinning movements vomiting,
my main issue is of overload swelling alcohol of pain distention fluid skin consumption of yellowish abdomen vomiting history abdominal stomach,Gastroenterology
feeling fast restlessness menstruation irritability fatigue mood diarrhoea hunger swings abnormal excessive rate weakness sweating heart muscle,Endocrinology
i have fatigue dark fever pain loss weight high abdominal itching urine yellowish skin,Gastroenterology
feeling cough sputum weight of pain appetite of loss chest vomiting fever yellowing in mild eyes fatigue high malaise phlegm sweating swelled lymph nodes breathlessness loss fever blood chills,Pulmonology
feeling blood yellowish malaise receiving transfusion eyes itching loss lethargy yellow fatigue appetite of abdominal skin yellowing pain injections unsterile urine of dark receiving urine,Gastroenterology
i have abdominal internal pain appetite passage loss itching vomiting of gases of,Gastroenterology
my main issue is swelling painful walking movement muscle joints neck weakness stiff stiffness,Orthopedics
i am having yellowing nausea yellowish skin loss of pain abdominal appetite eyes of itching vomiting,
dealing with loss abdominal gases itching pain indigestion internal vomiting passage appetite of of,Gastroenterology
my main issue is loss of itching of skin yellowish eyes vomiting yellowing appetite nausea,
my main issue is vomiting pain pain yellowish pain yellowing eyes urine dark nausea joint skin appetite diarrhoea abdominal muscle mild of fever of loss,Gastroenterology
i feel fever yellowish urine abdominal dark fatigue loss itching vomiting weight pain skin high lately,Gastroenterology
having diarrhoea eyes dehydration vomiting sunken,Gastroenterology
i have pain balance neck of loss limbs weakness dizziness in,Neurology
i have diarrhoea vomiting dehydration,Gastroenterology
i feel vomiting blurred and vision distorted hunger irritability headache tingling sweating anxiety speech nausea and palpitations slurred excessive drying lips lately,Endocrinology
having urine abdominal loss itching weight pain dark skin high yellowish fever fatigue,Gastroenterology
having visual neck hunger depression irritability vision stiff indigestion and blurred acidity disturbances headache distorted excessive,Neurology
i have skin itching high malaise body red appetite loss of over fever lethargy swelled spots fever nodes lymph fatigue rash mild,Infectious
feeling skin pus blackheads pimples filled scurring rash,Dermatology
suffering from yellowing transfusion blood lethargy urine malaise unsterile of appetite skin itching urine abdominal of dark receiving yellowish eyes receiving injections fatigue loss pain yellow,Gastroenterology
having history stomach overload skin fluid pain abdominal swelling vomiting consumption distention abdomen of of alcohol yellowish of,Gastroenterology
suffering from skin abdominal alcohol abdomen of yellowish of consumption overload of stomach distention pain fluid swelling history vomiting,Gastroenterology
i have bruising fatigue swollen prominent legs calf blood swollen veins on vessels cramps obesity,Cardiology
i am having pimples blackheads rash skin scurring filled pus,Dermatology
my main issue is weight hunger swings excessive muscle weakness abnormal irritability fast loss heart sweating menstruation restlessness rate mood fatigue diarrhoea,Endocrinology
dealing with yellowing itching vomiting appetite pain skin eyes yellowish loss of abdominal of,
having joint dark nausea of eyes liver high failure yellowing fever abdominal urine vomiting fatigue acute stomach pain coma loss pain of yellowish bleeding skin appetite,Gastroenterology
having eyes vomiting of loss fatigue abdominal liver pain skin bleeding acute joint yellowing failure yellowish of stomach appetite dark pain urine coma nausea,Gastroenterology
i am having loss yellowish pain vomiting dark pain urine skin nausea eyes abdominal joint appetite of fatigue of yellowing,Gastroenterology
having continuous foul bladder urine burning of smell micturition feel discomfort of urine,Urology
i have watering sneezing chills continuous eyes from,Dermatology
suffering from hunger headache anxiety and excessive sweating nausea distorted lips and drying vision irritability vomiting blurred palpitations speech slurred tingling,Endocrinology
having pain appetite of skin yellowish loss nausea itching vomiting abdominal,
dealing with indigestion internal loss itching gases of appetite abdominal pain vomiting passage of,Gastroenterology
experiencing nose fever sore skin red high ooze crust rash around yellow,Dermatology
suffering from fatigue malaise fever breathlessness rusty rate high chills fast heart pain sweating cough sputum chest phlegm,Pulmonology
i am having loss internal indigestion vomiting of appetite pain itching abdominal,Gastroenterology
experiencing fever of lethargy fever fatigue appetite over body red swelled nodes malaise rash skin loss lymph high itching mild spots headache,Infectious
i am having lymph loss congestion swelled high sneezing continuous throat headache cough eyes fever nose fatigue muscle pain redness irritation chest phlegm of chills malaise smell sinus nodes pain runny of pressure,Pulmonology
suffering from skin nodal eruptions dischromic patches skin rash,Dermatology
feeling walking movement stiff stiffness neck painful muscle weakness,Orthopedics
suffering from watering chills eyes from sneezing shivering continuous,Dermatology
having of bladder foul feel continuous discomfort urine smell micturition of burning urine,Urology
experiencing pain itching weight urine dark yellowish vomiting fatigue fever loss skin abdominal high,Gastroenterology
i feel nodal skin skin dischromic patches eruptions rash lately,Dermatology
experiencing pain in back balance loss weakness limbs of dizziness,Neurology
i have pain high bleeding fever fatigue liver vomiting pain loss yellowish nausea abdominal stomach joint of coma failure yellowing urine eyes of skin dark acute appetite,Gastroenterology
i have coma high bleeding vomiting joint of stomach abdominal dark acute appetite pain yellowing of yellowish eyes fatigue pain liver skin loss nausea failure fever urine,Gastroenterology
my main issue is fever diarrhoea nausea loss pain dark yellowing vomiting pain urine eyes mild appetite of muscle pain of abdominal joint,Gastroenterology
feeling shivering continuous from watering sneezing eyes chills,Dermatology
i have vomiting diarrhoea dehydration,Gastroenterology
suffering from irritability hunger headache anxiety nausea vision sweating excessive and vomiting slurred blurred distorted palpitations speech fatigue,Endocrinology
i have neck disturbances stiff depression visual blurred distorted headache vision excessive hunger indigestion and irritability acidity,Neurology
dealing with tongue on acidity vomiting pain stomach pain chest ulcers cough,Gastroenterology
experiencing rusty phlegm malaise breathlessness heart sputum chills high rate fast pain fatigue fever chest cough sweating,Pulmonology
having hunger neck irritability distorted vision headache depression excessive visual stiff acidity disturbances blurred and,Neurology
dealing with mild rash swelled fatigue red body itching nodes high malaise appetite fever over of lethargy headache lymph skin fever spots loss,Infectious
i am having rash pain peeling in dusting dents small like silver inflammatory nails skin joint skin nails,Dermatology
my main issue is neck walking painful joint pain pain swelling pain joint knee pain joints hip,Orthopedics
i feel mild yellowish urine nausea yellowing abdominal vomiting appetite joint dark muscle fever diarrhoea pain pain skin loss pain eyes of of lately,Gastroenterology
i am having neck pain limbs in weakness back pain dizziness,Neurology
feeling ooze nose around high sore fever yellow crust red blister,Dermatology
i am having indigestion visual headache hunger irritability vision distorted acidity depression excessive and blurred neck stiff disturbances,Neurology
experiencing receiving yellowish loss of dark itching injections lethargy urine appetite abdominal yellowing receiving unsterile urine transfusion malaise of fatigue skin eyes pain yellow blood,Gastroenterology
feeling pain headache pain chills pain back appetite muscle the high of fever over behind fatigue pain red loss body eyes nausea rash joint malaise skin spots,Infectious
i am having fatigue blurred sweating excessive vomiting and distorted headache anxiety hunger drying vision slurred tingling irritability and lips speech palpitations,Endocrinology
i think it's pain headache muscle fever vomiting chills nausea sweating high,Infectious
dealing with skin blackheads rash scurring,Dermatology
dealing with stomach rash urination micturition itching burning skin spotting pain,Dermatology
i think it's yellowing yellow loss urine receiving of skin itching receiving transfusion eyes unsterile yellowish dark blood injections fatigue appetite malaise lethargy urine of,Gastroenterology
feeling lymph congestion of runny sneezing headache redness of high nodes smell fever phlegm loss irritation pain chills muscle nose eyes cough swelled pressure fatigue chest pain continuous throat sinus,Pulmonology
suffering from vomiting yellowing loss pain dark of nausea yellowish of joint urine skin eyes appetite fatigue pain abdominal,Gastroenterology
feeling hands enlarged mood puffy dizziness brittle swings irritability fatigue eyes lethargy nails weight thyroid and swollen menstruation gain cold extremeties feets depression abnormal and face,Endocrinology
suffering from urine smell of discomfort urine micturition bladder feel burning foul of continuous,Urology
i think it's sputum breathlessness cough family mucoid high fever history fatigue,Pulmonology
i have of headache body sensorium weakness altered one vomiting side,Neurology
i think it's filled rash skin pimples blackheads scurring pus,Dermatology
i think it's blister sore around ooze yellow crust high nose red skin fever rash,Dermatology
feeling of movements nausea balance unsteadiness headache loss vomiting spinning,
experiencing eyes dehydration diarrhoea vomiting sunken,Gastroenterology
i am having history appetite eyes loss of fatigue yellowish yellowing nausea family skin of,Gastroenterology
feeling sunken eyes vomiting dehydration,Gastroenterology
having filled scurring skin pus rash blackheads pimples,Dermatology
dealing with diarrhoea vomiting eyes sunken dehydration,Gastroenterology
having pain pain pain joints joint swelling pain hip knee neck walking painful joint,Orthopedics
suffering from consumption stomach overload alcohol of abdominal swelling yellowish of pain abdomen fluid history distention of skin vomiting,Gastroenterology
my main issue is vomiting urine appetite skin muscle loss pain pain yellowing mild joint eyes of yellowish of diarrhoea dark nausea fever,Gastroenterology
experiencing discomfort continuous urine smell of bladder feel burning of urine micturition foul,Urology
dealing with acidity stomach ulcers on vomiting cough pain tongue,Gastroenterology
i feel high fever fatigue yellowing mild nodes phlegm sputum loss vomiting appetite blood loss chest of of in cough fever lymph weight malaise swelled chills pain eyes sweating lately,Pulmonology
suffering from dehydration eyes sunken vomiting diarrhoea,Gastroenterology
i think it's abdomen distention vomiting stomach history overload fluid of skin of consumption swelling of alcohol yellowish,Gastroenterology
suffering from body sensorium altered vomiting of headache weakness side one,Neurology
i think it's cough pain tongue stomach vomiting acidity on ulcers,Gastroenterology
i think it's blood swollen vessels legs obesity bruising fatigue cramps swollen,Cardiology
experiencing dents dusting small peeling joint silver skin in skin inflammatory nails pain like rash nails,Dermatology
having nodes loss high blood pain sweating fever appetite fever mild chest malaise yellowing sputum breathlessness lymph cough phlegm eyes swelled of in vomiting fatigue of chills,Pulmonology
i think it's eyes dark skin yellowing pain mild yellowish abdominal of pain fever nausea diarrhoea appetite pain loss urine of muscle joint,Gastroenterology
feeling in loss swelled weight nodes appetite cough lymph vomiting mild of eyes high of sweating chest sputum breathlessness blood fever chills loss phlegm pain yellowing fatigue malaise fever,Pulmonology
my main issue is headache spinning of vomiting nausea unsteadiness movements loss balance,
i feel pimples filled scurring blackheads pus lately,Dermatology
having diarrhoea nausea vomiting muscle fever high sweating chills headache pain,Infectious
i think it's speech nausea and sweating blurred tingling headache slurred drying excessive irritability vomiting anxiety palpitations lips vision fatigue distorted hunger and,Endocrinology
i feel stiff neck joints walking movement swelling muscle weakness painful stiffness lately,Orthopedics
i have irritability stiff depression and neck indigestion hunger excessive distorted headache blurred acidity vision,Neurology
i am having pimples skin blackheads pus filled rash,Dermatology
i think it's itching eyes nausea vomiting appetite skin of abdominal pain yellowing yellowish of loss,
i have liver failure dark vomiting of acute stomach abdominal appetite fatigue urine coma pain yellowing joint skin loss of bleeding nausea eyes pain yellowish,Gastroenterology
suffering from stiff joints weakness neck movement painful walking swelling muscle stiffness,Orthopedics
my main issue is pain vomiting mild yellowish loss joint pain appetite pain dark muscle fever nausea eyes abdominal diarrhoea of skin urine yellowing of,Gastroenterology
dealing with skin eruptions itching rash nodal patches skin dischromic,Dermatology
i think it's weakness side headache sensorium one of altered body,Neurology
my main issue is spots joint the headache fatigue body pain of nausea back malaise red pain appetite chills eyes pain rash over vomiting pain behind muscle loss skin,Infectious
i have nausea of history family yellowish yellowing fatigue eyes loss of skin appetite,Gastroenterology
i feel nausea abdominal dark yellowish of pain skin vomiting eyes loss appetite pain joint of fatigue yellowing urine lately,Gastroenterology
i am having brittle face swings thyroid weight abnormal eyes feets swollen irritability cold and hands enlarged mood lethargy dizziness depression fatigue and nails gain menstruation puffy extremeties,Endocrinology
i am having chills high pain look vomiting nausea diarrhoea (typhos) headache toxic abdominal belly pain fatigue fever constipation,Infectious
having eyes appetite history yellowish nausea of of loss family fatigue skin yellowing,Gastroenterology
i have urination rash stomach pain itching skin micturition burning spotting,Dermatology
having back chills pain malaise joint eyes red headache skin fatigue loss pain pain nausea pain fever the of behind vomiting over high rash body muscle appetite spots,Infectious
suffering from spotting itching micturition urination pain burning stomach,Dermatology
experiencing pain hip knee pain walking pain painful swelling pain joint joints joint neck,Orthopedics
my main issue is eruptions itching dischromic skin nodal skin patches rash,Dermatology
experiencing loss appetite yellowing nausea abdominal pain of vomiting itching of eyes skin yellowish,
suffering from pain headache diarrhoea nausea pain toxic vomiting look high (typhos) fatigue abdominal fever belly constipation chills,Infectious
feeling marital throat wasting contacts muscle patches fever high in extra,Infectious
i think it's fever pain sweating diarrhoea chills headache vomiting muscle high,Infectious
dealing with injections yellowing of pain transfusion urine yellow malaise receiving dark loss lethargy unsterile yellowish itching abdominal eyes urine blood skin fatigue of receiving appetite,Gastroenterology
having pain internal loss appetite itching passage of abdominal vomiting of indigestion gases,Gastroenterology
feeling loss lymph fever lethargy skin red high headache swelled nodes rash spots malaise over mild fatigue body appetite itching of fever,Infectious
i have high in contacts throat patches marital fever extra,Infectious
my main issue is pain breathlessness sweating chest vomiting,Cardiology
feeling vomiting abdominal fluid alcohol abdomen pain consumption of overload skin swelling of distention stomach yellowish history of,Gastroenterology
having body vomiting one altered side weakness sensorium headache of,Neurology
my main issue is eyes chills from sneezing shivering watering continuous,Dermatology
experiencing crust blister yellow rash ooze sore around high nose skin red fever,Dermatology
my main issue is yellowing nausea joint loss abdominal of pain of vomiting skin eyes fatigue yellowish urine dark pain appetite,Gastroenterology
experiencing breathlessness history family mucoid cough high fever sputum,Pulmonology
i am having sweating lymph chills sputum malaise mild swelled high of pain yellowing breathlessness fatigue fever blood weight in cough nodes eyes fever loss chest appetite vomiting phlegm loss of,Pulmonology
experiencing passage of pain gases vomiting indigestion appetite abdominal of internal loss itching,Gastroenterology
experiencing abdominal internal indigestion of appetite passage vomiting gases of pain itching loss,Gastroenterology
having loss balance of pain limbs in back pain dizziness weakness neck,Neurology
my main issue is face swollen and eyes gain nails depression swings thyroid menstruation dizziness fatigue mood lethargy enlarged extremeties cold hands and irritability brittle feets puffy abnormal weight,Endocrinology
feeling high chest fatigue chills sputum cough fever rusty pain breathlessness heart sweating malaise rate phlegm fast,Pulmonology
having cramps fatigue on bruising veins swollen obesity legs calf prominent,Cardiology
feeling neck pain joints painful knee pain joint hip pain swelling joint pain walking,Orthopedics
having abdominal belly high (typhos) toxic headache chills nausea fever look diarrhoea vomiting fatigue pain constipation pain,Infectious
i have sensorium altered vomiting headache,Neurology
i feel stiffness swelling weakness painful joints movement muscle walking stiff neck lately,Orthopedics
having dischromic skin patches rash itching,Dermatology
i am having shivering watering from sneezing eyes continuous,Dermatology
i have altered one vomiting headache body weakness sensorium of side,Neurology
suffering from throat extra patches marital high fever muscle in wasting contacts,Infectious
i feel irritability fatigue abnormal diarrhoea swings heart loss menstruation fast weight hunger weakness excessive mood muscle restlessness sweating rate lately,Endocrinology
i feel eruptions skin dischromic skin patches nodal itching rash lately,Dermatology
i have chills sputum breathlessness chest fast rusty phlegm heart fever high rate cough fatigue pain malaise,Pulmonology
suffering from yellowing eyes yellowish urine yellow injections unsterile blood itching malaise pain appetite of lethargy fatigue abdominal receiving skin transfusion receiving loss of,Gastroenterology
i have spinning unsteadiness headache vomiting nausea movements,
i have of fluid skin abdomen vomiting stomach alcohol distention consumption overload abdominal pain of yellowish history swelling of,Gastroenterology
my main issue is high appetite skin pain vomiting urine yellowing yellowish loss bleeding stomach pain eyes nausea dark coma fever of fatigue of abdominal joint,Gastroenterology
my main issue is abnormal eyes and hands swollen puffy depression irritability face dizziness weight lethargy nails cold and thyroid menstruation feets brittle mood gain extremeties enlarged swings,Endocrinology
i have bleeding joint of urine loss of yellowish skin acute abdominal dark yellowing pain coma pain liver eyes stomach vomiting fatigue fever failure appetite high,Gastroenterology
having hands dizziness and gain swollen mood thyroid enlarged brittle abnormal face irritability puffy cold feets nails weight depression swings and eyes lethargy extremeties menstruation,Endocrinology
feeling rash of pain nausea spots headache back joint pain red vomiting loss eyes appetite body pain the muscle malaise skin behind over high chills fever pain,Infectious
i am having fatigue bleeding nausea pain coma of urine of yellowish skin acute high fever vomiting abdominal yellowing eyes pain loss appetite dark stomach failure joint liver,Gastroenterology
i am having pain headache diarrhoea muscle high vomiting fever sweating chills,Infectious
i have nodal patches itching eruptions skin skin rash dischromic,Dermatology
suffering from eyes fatigue loss family history of skin yellowing yellowish appetite nausea of,Gastroenterology
dealing with loss fast heart sweating muscle weakness mood irritability abnormal weight menstruation fatigue diarrhoea rate restlessness swings hunger excessive,Endocrinology
feeling appetite pain in sputum of eyes high mild phlegm chest cough loss of blood swelled nodes fatigue malaise sweating fever lymph chills fever weight yellowing breathlessness loss,Pulmonology
i am having watering shivering from sneezing continuous eyes chills,Dermatology
i feel joint pain swelling pain knee pain joints hip neck joint pain lately,Orthopedics
suffering from pain hip joints painful pain pain neck swelling knee joint walking pain joint,Orthopedics
my main issue is pain spotting stomach urination skin rash itching,Dermatology
feeling of malaise swelled skin lethargy appetite lymph loss high over fever red mild headache itching body fever fatigue spots nodes rash,Infectious
dealing with chills from continuous shivering watering eyes sneezing,Dermatology
my main issue is shivering continuous from eyes watering sneezing chills,Dermatology
i am having vomiting eyes diarrhoea sunken,Gastroenterology
i am having abdominal skin fatigue fever dark yellowish urine vomiting loss pain itching weight high,Gastroenterology
i have blackheads pimples filled pus scurring,Dermatology
